OID,FID_1,OBJECTID,CrashSever,CollisionT,Weather,Light,RoadSurfac,TrafficCon,City,Year,Fatality,Injury,X,Y,FULLNAME
0,107,2108,A-Injury,Overturned,Clear,Daylight,Dry,No Controls,Urbana,2012,0,1,-88.1812973,40.08380127,Co Rd 1400 N
1,134,2135,A-Injury,Turning,Clear,Daylight,Dry,Traffic Signal,Urbana,2012,0,1,-88.18520355,40.08380127,Co Rd 1400 N
2,387,2388,A-Injury,Rear end,Clear,Daylight,Dry,Traffic Signal,Unincorporated,2014,0,1,-88.21880341,40.08349991,Co Rd 1400 N
3,482,2483,A-Injury,Turning,Clear,Darkness,Dry,Traffic Signal,Unincorporated,2015,0,2,-88.21880341,40.08349991,Co Rd 1400 N
4,1990,1391,A-Injury,Head on,Sleet/Hail,"Darkness, lighted road",Ice,No Controls,Unincorporated,2008,0,3,-88.21900177,40.08349991,Co Rd 1400 N
5,2101,1502,A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Unincorporated,2009,0,1,-88.21649933,40.08349991,Co Rd 1400 N
6,2138,1539,A-Injury,Overturned,Clear,Dusk,Dry,No Controls,Unincorporated,2009,0,1,-88.09629822,40.08399963,Co Rd 1400 N
7,2181,1582,A-Injury,Turning,Rain,Dusk,Wet,Traffic Signal,Urbana,2009,0,1,-88.16220093,40.08399963,Co Rd 1400 N
8,2209,1610,A-Injury,Turning,Clear,Daylight,Snow or slush,Traffic Signal,Urbana,2009,0,1,-88.19049835,40.08380127,Co Rd 1400 N
9,2293,1694,A-Injury,Turning,Clear,Daylight,Dry,Other,Urbana,2010,0,4,-88.16220093,40.08399963,Co Rd 1400 N
10,50,2051,A-Injury,Angle,Snow,Darkness,Snow or slush,Traffic Signal,Champaign,2012,0,1,-88.31430054,40.09870148,Co Rd 1500 N
11,122,2123,A-Injury,Angle,Clear,Daylight,Dry,Traffic Signal,Champaign,2012,0,1,-88.24669647,40.09809875,Co Rd 1500 N
12,132,2133,A-Injury,Overturned,Clear,"Darkness, lighted road",Dry,Traffic Signal,Champaign,2012,0,6,-88.25759888,40.09809875,Co Rd 1500 N
13,136,2137,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,2012,0,4,-88.20960236,40.09830093,Co Rd 1500 N
14,174,2175,A-Injury,Pedestrian,Clear,Daylight,Wet,No Controls,Champaign,2013,0,1,-88.27629852,40.09830093,Co Rd 1500 N
15,231,2232,A-Injury,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,2013,0,1,-88.25740051,40.09809875,Co Rd 1500 N
16,296,2297,A-Injury,Pedalcyclist,Rain,"Darkness, lighted road",Wet,No Controls,Champaign,2013,0,1,-88.26540375,40.09820175,Co Rd 1500 N
17,315,2316,A-Injury,Other object,Clear,Darkness,Wet,No Controls,Champaign,2014,0,1,-88.25440216,40.09809875,Co Rd 1500 N
18,339,2340,A-Injury,Pedestrian,Clear,"Darkness, lighted road",Wet,Lane Use Marking,Champaign,2014,0,1,-88.27230072,40.09820175,Co Rd 1500 N
19,347,2348,A-Injury,Turning,Clear,"Darkness, lighted road",Dry,Traffic Signal,Champaign,2014,0,1,-88.27649689,40.09830093,Co Rd 1500 N
20,348,2349,A-Injury,Pedalcyclist,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,2014,0,1,-88.29810333,40.09849929999999,Co Rd 1500 N
21,372,2373,A-Injury,Pedestrian,Clear,Daylight,Dry,Traffic Signal,Champaign,2014,0,1,-88.2385025,40.09799957,Co Rd 1500 N
22,376,2377,A-Injury,Rear end,Clear,"Darkness, lighted road",Dry,Stop Sign/Flasher,Champaign,2014,0,1,-88.28119659,40.09830093,Co Rd 1500 N
23,479,2480,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,2015,0,2,-88.20960236,40.09830093,Co Rd 1500 N
24,639,40,A-Injury,Turning,Clear,"Darkness, lighted road",Dry,Traffic Signal,Champaign,2003,0,2,-88.24459839,40.09809875,Co Rd 1500 N
25,1071,472,A-Injury,Turning,Clear,Darkness,Wet,Traffic Signal,Champaign,2004,0,1,-88.24459839,40.09809875,Co Rd 1500 N
26,1072,473,A-Injury,Rear end,Clear,Daylight,Wet,Traffic Signal,Champaign,2004,0,1,-88.24459839,40.09809875,Co Rd 1500 N
27,1163,564,A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Champaign,2005,0,1,-88.27619934,40.09820175,Co Rd 1500 N
28,1223,624,A-Injury,Rear end,Clear,Daylight,Dry,Traffic Signal,Champaign,2005,0,2,-88.23860168,40.09799957,Co Rd 1500 N
29,1363,764,A-Injury,Sideswipe same direction,Snow,Daylight,Unknown,No Controls,Champaign,2005,0,1,-88.23449707,40.09809875,Co Rd 1500 N
30,1364,765,A-Injury,Pedestrian,Clear,Daylight,Dry,Other,Urbana,2005,0,1,-88.2220993,40.09809875,Co Rd 1500 N
31,1365,766,A-Injury,Angle,Clear,Daylight,Dry,No Controls,Urbana,2005,0,1,-88.22869873,40.09809875,Co Rd 1500 N
32,1366,767,A-Injury,Pedalcyclist,Clear,Daylight,Dry,No Controls,Urbana,2005,0,1,-88.19570159999999,40.09840012,Co Rd 1500 N
33,1582,983,A-Injury,Turning,Clear,Daylight,Dry,No Controls,Champaign,2006,0,1,-88.26260376,40.09820175,Co Rd 1500 N
34,1583,984,A-Injury,Rear end,Rain,Daylight,Wet,No Controls,Urbana,2006,0,1,-88.22280121,40.09820175,Co Rd 1500 N
35,1693,1094,A-Injury,Turning,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,2007,0,2,-88.29509735,40.09849929999999,Co Rd 1500 N
36,1711,1112,A-Injury,Rear end,Clear,Daylight,Dry,Traffic Signal,Champaign,2007,0,3,-88.31430054,40.09870148,Co Rd 1500 N
37,1867,1268,A-Injury,Pedalcyclist,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,2008,0,1,-88.20960236,40.09830093,Co Rd 1500 N
38,1931,1332,A-Injury,Angle,Clear,Darkness,Dry,Traffic Signal,Champaign,2008,0,1,-88.31430054,40.09870148,Co Rd 1500 N
39,1970,1371,A-Injury,Turning,Clear,Daylight,Dry,No Controls,Champaign,2008,0,2,-88.26260376,40.09820175,Co Rd 1500 N
40,2055,1456,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Urbana,2009,0,1,-88.2141037,40.09820175,Co Rd 1500 N
41,2068,1469,A-Injury,Angle,Rain,"Darkness, lighted road",Wet,Traffic Signal,Champaign,2009,0,3,-88.24669647,40.09809875,Co Rd 1500 N
42,2071,1472,A-Injury,Parked motor vehicle,Clear,Daylight,Dry,No Controls,Urbana,2009,0,1,-88.20120239,40.09840012,Co Rd 1500 N
43,2081,1482,A-Injury,Pedalcyclist,Rain,Daylight,Wet,Traffic Signal,Champaign,2009,0,1,-88.26889801,40.09820175,Co Rd 1500 N
44,2134,1535,A-Injury,Turning,Clear,Daylight,Dry,Traffic Signal,Champaign,2009,0,1,-88.26889801,40.09820175,Co Rd 1500 N
45,2184,1585,A-Injury,Rear end,Fog/Smoke/Haze,Daylight,Wet,No Controls,Champaign,2009,0,3,-88.30449677,40.09859848,Co Rd 1500 N
46,2205,1606,A-Injury,Rear end,Clear,"Darkness, lighted road",Dry,No Controls,Champaign,2009,0,2,-88.25350189,40.09809875,Co Rd 1500 N
47,2249,1650,A-Injury,Other object,Clear,Daylight,Dry,No Controls,Champaign,2010,0,1,-88.32679749,40.09870148,Co Rd 1500 N
48,2264,1665,A-Injury,Angle,Clear,Daylight,Dry,Traffic Signal,Urbana,2010,0,1,-88.19069672,40.09840012,Co Rd 1500 N
49,2340,1741,A-Injury,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,2010,0,1,-88.2858963,40.09840012,Co Rd 1500 N
50,2345,1746,A-Injury,Rear end,Clear,Darkness,Dry,No Controls,Champaign,2010,0,2,-88.26650238,40.09820175,Co Rd 1500 N
51,162,2163,A-Injury,Turning,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,2012,0,1,-88.31390381,40.06949997,Co Rd 1300 N
52,264,2265,A-Injury,Fixed object,Clear,"Darkness, lighted road",Dry,No Controls,Champaign,2013,0,1,-88.27189636,40.06909943,Co Rd 1300 N
53,430,2431,A-Injury,Turning,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,2014,0,1,-88.28089905,40.06919861,Co Rd 1300 N
54,432,2433,A-Injury,Head on,Clear,Dawn,Ice,No Controls,Unincorporated,2014,0,1,-88.21859741,40.06909943,Co Rd 1300 N
55,442,2443,A-Injury,Overturned,Clear,Darkness,Dry,No Controls,Unincorporated,2014,0,1,-88.19499969,40.06919861,Co Rd 1300 N
56,1398,799,A-Injury,Fixed object,Clear,"Darkness, lighted road",Dry,Stop Sign/Flasher,Savoy,2006,0,1,-88.25730133,40.06909943,Co Rd 1300 N
57,1416,817,A-Injury,Turning,Rain,Darkness,Wet,Stop Sign/Flasher,Unincorporated,2006,0,2,-88.27610016,40.06919861,Co Rd 1300 N
58,1635,1036,A-Injury,Turning,Clear,Daylight,Dry,Traffic Signal,Unincorporated,2007,0,2,-88.29499817,40.06940079,Co Rd 1300 N
